Date,Price,Volume
2012-10-09,12.15,335935.723571
2012-10-10,12.19,281366.82658
2012-10-11,12.16,0.0
2012-10-12,12.137,174942.482024
2012-10-13,12.0,158414.651127
2012-10-14,12.1,0.0
2012-10-15,11.99,273315.255713
2012-10-16,11.99,509839.909836
2012-10-17,11.99,0.0
2012-10-18,11.967,303574.501237
2012-10-19,11.85,279328.467555
2012-10-20,11.94,0.0
2012-10-21,11.81,363254.837564
2012-10-22,12.0,554136.574263
2012-10-23,11.86,0.0
2012-10-24,11.71,767514.056473
2012-10-25,11.09988,1097740.37495
2012-10-26,11.56,0.0
2012-10-27,10.61,171520.107488
2012-10-28,10.95,475257.612809
2012-10-29,10.69,0.0
2012-10-30,11.14,388650.382908
2012-10-31,11.279,362027.444785
2012-11-01,11.17,0.0
2012-11-02,10.60097,173907.599918
2012-11-03,10.68,124956.25925
2012-11-04,10.62,0.0
2012-11-05,10.88997,255683.318325
2012-11-06,11.21603,371817.893804
2012-11-07,10.97,0.0
2012-11-08,11.07,201205.421012
2012-11-09,10.95899,155136.110301
2012-11-10,11.04,0.0
2012-11-11,11.18,446622.788449
2012-11-12,11.129,183274.895345
2012-11-13,11.17,0.0
2012-11-14,11.114,309778.412311
2012-11-15,11.8,800300.483125
2012-11-16,11.28,0.0
2012-11-17,11.832,185891.6868
2012-11-18,11.79998,251963.013766
2012-11-19,11.82,0.0
2012-11-20,11.784,238923.452636
2012-11-21,12.28,632633.311348
2012-11-22,11.9,0.0
2012-11-23,12.4108,273890.923938
2012-11-24,12.6,311167.173914
2012-11-25,12.46,0.0
2012-11-26,12.52999,560148.264965
2012-11-27,12.40712,389726.803117
2012-11-28,12.5,0.0
2012-11-29,12.65,331048.971461
2012-11-30,12.68778,209191.991172
2012-12-01,12.66,0.0
